match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,6,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,1,SK Raina,AT Rayudu,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,2,SK Raina,AT Rayudu,UT Yadav,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,3,AT Rayudu,SK Raina,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,4,AT Rayudu,SK Raina,UT Yadav,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,5,SK Raina,AT Rayudu,UT Yadav,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,9,6,AT Rayudu,SK Raina,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,1,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,2,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,SK Raina,caught
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,3,KM Jadhav,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,4,KM Jadhav,AT Rayudu,M Ali,0,0,0,0,0,0,2,0,2,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,5,KM Jadhav,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,10,6,KM Jadhav,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,1,AT Rayudu,KM Jadhav,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,2,AT Rayudu,KM Jadhav,UT Yadav,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,3,KM Jadhav,AT Rayudu,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,4,KM Jadhav,AT Rayudu,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,5,KM Jadhav,AT Rayudu,UT Yadav,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,11,6,KM Jadhav,AT Rayudu,UT Yadav,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,1,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,2,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,3,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,4,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,5,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,12,6,AT Rayudu,KM Jadhav,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,1,KM Jadhav,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,2,KM Jadhav,AT Rayudu,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,3,AT Rayudu,KM Jadhav,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,4,AT Rayudu,KM Jadhav,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,5,AT Rayudu,KM Jadhav,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,13,6,AT Rayudu,KM Jadhav,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,14,1,KM Jadhav,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,14,2,KM Jadhav,AT Rayudu,N Saini,0,1,0,0,0,0,1,1,2,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,14,3,KM Jadhav,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
